Year,Quarter,Revenue_AMZN,Cost of revenue_AMZN,Net income_AMZN,Earnings per share_AMZN,Current assets_AMZN,Total assets_AMZN,Current liabilities_AMZN,Shareholders' equity_AMZN,Depreciation & Amortization_AMZN,Cash generated by operating activities_AMZN,Cash at end of period_AMZN,Revenue_AMD,Cost of revenue_AMD,Net income_AMD,Earnings per share_AMD,Current assets_AMD,Total assets_AMD,Current liabilities_AMD,Shareholders' equity_AMD,Depreciation & Amortization_AMD,Cash generated by operating activities_AMD,Cash at end of period_AMD,Revenue_AAPL,Cost of revenue_AAPL,Net income_AAPL,Earnings per share_AAPL,Current assets_AAPL,Total assets_AAPL,Current liabilities_AAPL,Shareholders' equity_AAPL,Depreciation & Amortization_AAPL,Cash generated by operating activities_AAPL,Cash at end of period_AAPL,Revenue_CSCO,Cost of revenue_CSCO,Net income_CSCO,Earnings per share_CSCO,Current assets_CSCO,Total assets_CSCO,Current liabilities_CSCO,Shareholders' equity_CSCO,Depreciation & Amortization_CSCO,Cash generated by operating activities_CSCO,Cash at end of period_CSCO,Revenue_GOOGL,Cost of revenue_GOOGL,Net income_GOOGL,Earnings per share_GOOGL,Current assets_GOOGL,Total assets_GOOGL,Current liabilities_GOOGL,Shareholders' equity_GOOGL,Depreciation & Amortization_GOOGL,Cash generated by operating activities_GOOGL,Cash at end of period_GOOGL,Revenue_IBM,Cost of revenue_IBM,Net income_IBM,Earnings per share_IBM,Current assets_IBM,Total assets_IBM,Current liabilities_IBM,Shareholders' equity_IBM,Depreciation & Amortization_IBM,Cash generated by operating activities_IBM,Cash at end of period_IBM,Revenue_INTC,Cost of revenue_INTC,Net income_INTC,Earnings per share_INTC,Current assets_INTC,Total assets_INTC,Current liabilities_INTC,Shareholders' equity_INTC,Depreciation & Amortization_INTC,Cash generated by operating activities_INTC,Cash at end of period_INTC,Revenue_NVDA,Cost of revenue_NVDA,Net income_NVDA,Earnings per share_NVDA,Current assets_NVDA,Total assets_NVDA,Current liabilities_NVDA,Shareholders' equity_NVDA,Depreciation & Amortization_NVDA,Cash generated by operating activities_NVDA,Cash at end of period_NVDA,Revenue_TXN,Cost of revenue_TXN,Net income_TXN,Earnings per share_TXN,Current assets_TXN,Total assets_TXN,Current liabilities_TXN,Shareholders' equity_TXN,Depreciation & Amortization_TXN,Cash generated by operating activities_TXN,Cash at end of period_TXN,Revenue_XYZ,Cost of revenue_XYZ,Net income_XYZ,Earnings per share_XYZ,Current assets_XYZ,Total assets_XYZ,Current liabilities_XYZ,Shareholders' equity_XYZ,Depreciation & Amortization_XYZ,Cash generated by operating activities_XYZ,Cash at end of period_XYZ,Stock price_AMZN,Stock price_AMD,Stock price_AAPL,Stock price_CSCO,Stock price_GOOGL,Stock price_IBM,Stock price_INTC,Stock price_NVDA,Stock price_TXN,Stock price_WMT
2008,2,4135,3179,143,0.34,3965,5883,3551,1470,65,-645,1496,1505,877,-358,-0.59,3513,11208,2738,2637,317,16,1404,9608,6276,1581,1.76,26189,30039,10535,16804,106,2787,9162,9831,3491,2060,0.33,32442,55300,12193,32812,878,5532,5202,5186,2111,1307,4.12,15465,27605,2460,24338,281,1779,6520,24502,14336,2319,1.65,48425,121823,47048,28728,1030,4202,10786,9673,4466,1443,0.25,22064,53387,8668,40660,1102,2215,5883,1153,639,177,0.3,2749,3807,877,2737,41,145,803,3272,1516,662,0.49,5975,12338,1848,9857,241,641,1450,4585.31,3424.15,140.28,0.34,3730.14,5492.78,3195.28,1357.29,65.42,-608.88,1578.06,76.7,6.07,24.2913,19.4483,233.0881,83.4892,15.3569,19.8146,22.107,74.5781272977818
2008,3,4063,3096,158,0.37,4236,6322,3216,2230,70,347,1548,1349,653,-1189,-1.96,3431,9784,2468,1474,627,-226,1310,7512,5038,1045,1.16,26736,30471,9634,18053,222,3980,9070,9791,3486,1773,0.29,34145,57123,13359,33138,1314,8560,6154,5367,2148,1247,3.92,16317,29180,2346,25913,589,3546,7364,26820,15221,2765,1.98,46312,120928,44683,28264,2096,8453,9626,9470,4221,1601,0.28,19778,52392,8032,40361,2144,5043,4079,893,743,-121,-0.22,2814,3960,1135,2663,88,226,719,3351,1602,588,0.44,6010,12382,1760,9984,487,1160,1317,4400.87,3222.82,133.46,0.32,5477.41,6522.44,3594.49,2160.89,77.94,276.11,1810.92,73.62,5.65,18.6424,20.7974,267.6326,85.8311,15.1674,9.9902,20.910999999999998,92.79034592635492
2008,4,4264,3265,118,0.27,4430,6566,3144,2527,76,424,1650,1776,871,-127,-0.21,3297,9441,2392,1339,920,-442,1108,7464,4864,1072,1.19,27998,31709,9218,19622,339,5301,9373,10331,3650,2201,0.37,35662,58887,13548,35035,393,2718,4197,5541,2173,1290,4.06,17963,30807,2224,27475,899,5731,8370,25302,14342,2824,2.05,44187,115910,44752,27519,3144,12191,9755,10217,4198,2014,0.35,21423,52719,10068,38911,3203,8330,3704,898,530,62,0.11,2480,3649,1004,2487,137,269,461,3387,1744,563,0.43,6212,12466,1738,10094,738,2212,1715,4829.85,3038.23,125.83,0.28,4641.91,7140.53,3475.74,2499.05,76.28,406.87,1526.01,69.58,4.74,21.7779,13.4127,206.0661,79.5623,13.1042,7.7784,16.4403,66.966307194945
2009,2,4889,3741,177,0.41,4775,6980,3410,2918,87,-585,1701,1177,666,-414,-0.66,3971,9052,2079,-163,280,-391,2402,10167,6635,1605,1.78,35163,42787,14757,22909,158,3938,7236,9089,3366,1504,0.26,37995,61357,13604,36783,818,5916,4175,5509,2102,1423,4.49,22081,33513,2184,29848,321,2250,10426,21711,12280,2295,1.7,43995,101944,37425,13693,917,4386,12294,7145,3907,629,0.11,18142,48454,6341,39064,1208,378,3536,664,475,-201,-0.37,2021,3179,702,2319,51,142,512,2086,1280,17,0.01,5532,11520,1287,9210,230,251,1436,4523.34,3378.05,178.86,0.45,4834.5,9102.39,3551.73,2440.75,91.12,-580.65,1473.97,73.5,3.02,11.3141,11.9388,177.2222,71.2973,10.8376,10.7552,12.5054,72.84460472455747
2009,3,4651,3518,142,0.32,5304,7675,3636,3256,84,468,1936,1184,743,-335,-0.49,3713,8683,2022,-465,562,-535,1979,8163,5192,1205,1.33,33853,43237,13751,24311,330,4779,4466,8162,2933,1348,0.23,41336,64666,12861,37256,1244,7912,7359,5523,2108,1485,4.66,23835,35159,2001,31595,632,3859,11911,23250,12669,3103,2.32,44435,103655,36430,15380,1853,9127,11678,8024,3945,-398,-0.07,18467,49061,7079,39047,2419,3762,3826,777,620,-105,-0.19,2168,3298,891,2247,100,277,524,2457,1333,260,0.2,5740,11510,1468,9213,451,808,1765,4487.31,2985.45,125.95,0.32,5294.63,8304.67,2965.07,2617.16,79.53,541.05,1913.87,81.6,3.91,13.5507,15.2686,209.7047,76.9784,12.3911,12.239,16.7278,74.12264530616072
2009,4,5449,4176,199,0.45,6369,8972,4537,3585,96,799,2514,1396,811,-135,-0.18,3918,8747,2076,-569,844,-677,1847,8337,5314,1229,1.35,35170,48140,16661,25888,506,7049,5605,9021,3133,1787,0.3,44697,68680,13162,40002,429,1488,4774,5945,2226,1639,5.13,26354,37703,2322,33722,943,6585,12087,23566,12938,3214,2.4,43446,103675,32960,18396,2806,14325,9532,9389,3985,1856,0.33,19247,50996,7749,39033,3572,7765,4109,903,511,108,0.19,2358,3464,889,2424,149,419,614,2880,1399,538,0.42,6138,11903,1662,9438,668,1642,1294,4312.64,4002.77,253.18,0.39,6230.84,9170.54,4373.39,3359.61,90.68,806.38,2176.86,91.04,5.39,17.8071,17.9355,243.8438,86.9714,13.844000000000001,11.1238,17.6211,81.0263220298333
2010,2,7131,5501,299,0.66,7964,12042,5193,5618,119,-1098,1844,1574,833,257,0.35,3331,5232,1645,796,100,23,642,15683,9272,3378,3.67,33332,53926,13097,35768,209,5781,7609,9815,3483,1853,0.32,50139,76403,14405,41512,942,3974,4710,6775,2452,1955,6.06,31132,42871,2922,38283,264,2584,9192,22857,12880,2601,1.97,45697,105208,34575,22033,924,4437,12472,10299,3770,2442,0.43,23724,55773,8912,42900,1080,4079,4988,1002,545,138,0.23,2727,3803,765,2861,47,-5,447,3205,1516,658,0.52,6323,12370,1719,9805,211,710,1217,5777.83,4158.91,312.55,0.61,8074.13,10806.28,6174.44,4807.44,111.98,-1281.69,2371.28,131.81,9.37,26.6813,17.725,284.6847,95.4559,16.6576,14.3218,19.3574,145.10141455571087
2010,3,6566,4957,207,0.45,8118,12397,5250,5857,129,250,1629,1653,915,-43,-0.06,3313,4955,1630,752,200,-75,1084,13499,7874,3074,3.33,32336,57057,12229,39348,425,8111,10018,10368,3738,2192,0.37,49758,79292,18439,43830,1415,6941,3961,6820,2467,1840,5.71,35161,48045,5747,40613,530,4669,10713,23724,12915,3386,2.61,44895,103420,34993,21059,1823,8203,10325,10765,3530,2887,0.51,26464,57691,7937,45841,2166,7565,5514,811,677,-141,-0.25,2656,3731,819,2761,94,29,377,3496,1602,769,0.62,6130,12164,1538,9755,426,1272,1138,5911.65,4412.43,197.44,0.41,7911.0,11524.53,5145.18,6288.57,132.73,221.93,1467.16,110.96,7.39,29.4192,21.4758,219.965,91.6959,14.4225,8.4604,18.2926,131.0393749158055
2010,4,7560,5786,231,0.51,9559,14162,6375,6397,150,855,1539,1618,879,-118,-0.17,3212,4595,1665,614,294,-199,620,15700,9564,3253,3.51,36033,64725,15612,43111,698,12912,9705,10750,3995,1930,0.34,50406,80015,18120,44675,553,1667,3796,7286,2552,2167,6.72,39447,53342,8530,43290,787,7555,11257,24271,13270,3589,2.82,44469,107174,35443,22238,2737,12754,9859,11102,3781,2955,0.52,29499,60588,8837,47696,3252,11142,5517,844,452,85,0.15,2808,3916,816,2898,141,241,451,3740,1701,859,0.71,6468,12649,1838,9962,639,2590,1093,7774.66,6054.84,232.39,0.52,9291.5,13961.05,7552.06,5594.95,143.07,742.43,1516.17,153.71,7.05,30.9788,17.8731,263.0731,101.9765,14.5854,11.0962,21.6152,134.04942829350182
2011,2,9857,7608,201,0.44,11288,16882,7730,7347,202,-1586,2641,1613,922,510,0.68,3411,5209,1375,1558,88,-168,602,26741,16443,6004,6.43,43927,86742,23795,54666,356,9773,10734,10407,4146,1521,0.27,52066,81981,18505,45641,1240,4276,4924,8575,2936,1798,5.51,43310,59960,9332,48851,301,3172,12415,24607,13749,2863,2.31,47524,112960,40387,22671,918,3792,12763,12847,4962,3160,0.56,22795,65552,11565,47349,1287,4013,4188,962,478,135,0.22,3497,4737,981,3448,48,172,684,3392,1664,666,0.55,7044,13310,1793,10574,224,516,1343,9663.2,5098.64,197.44,0.37,10736.51,17948.7,9188.15,7272.1,183.98,-1420.11,2352.12,180.13,8.36,41.0886,16.7424,296.1962,124.541,15.1309,18.1833,27.3759,174.1204431276791
